Modifier,Description
0020,"Conscious sedation: Any case that is conducted outside of a hospital theatre shall be coded with the relevant procedure code. To identify these cases, the above modifier should be used to indicate to the medical  scheme that there will be no hospital/theatre account."
0021,"Determination of anaesthetic fees: Anaesthetic fees are determined by obtaining the sum of the basic anaesthetic units (allocated to each procedure that might be performed under anaesthetic as indicated in the ""Anaesthetic Performed"" column) plus the time units (calculated according to the formula in Modifier 0023) and the appropriate modifers (see Modifiers 0037-0044). In cases of operative procedures on the musculoskeletal system, open fractures and open reduction of fractures or dislocations add units as laid down by Modifiers 5441 to 5448"
0023,"The basic anaesthetic units are laid down in the tariff and are reflected in the anaesthetic column. These basic anaesthetic units reflect the additional anaesthetic risk, the technical skill required of the anaesthesiologist/anaesthetist and the scope of the surgical procedure, but exclude the value of the actual time spent administering the anaesthetic. The time units (indicated by “T”) will be added to the listed basic anaesthetic units in all cases on the following basis: Anaesthetic time: The remuneration for anaesthetic time shall be per 15 minute period or part thereof, calculated from the commencement of the anaesthetic, i.e. 2,00 anaesthetic units per 15 minute period or part thereof, provided that should the duration of the anaesthetic be longer than one (1) hour the number of units shall, after one (1) hour, be 3,00 anaesthetic units per 15 minute period or part thereof."
0024,"Pre-operative assessments not followed by procedures: If a pre-operative assessment of a patient by the anaesthesiologist/anaesthetist is not followed by an operation, it will be regarded as a visit at hospital or nursing home and the appropriate hospital visit item should be charged."
0025,"Calculation of anaesthetic time:  Anaesthetic time is calculated from the time the anaesthesiologist/anaesthetist begins to prepare the patient for the induction of anaesthesia in the operating theatre or in a similar equivalent area and ends when the anaesthesiologist/anaesthetist is no longer required to give his/her personal professional attention to the patient, i.e. when the patient may, with reasonable safety, be placed under the customary post-operative supervision.  Where prolonged personal professional attention is necessary for the well-being and safety of such patient, the necessary time will be valued on the same basis as indicated above for the anaesthetic time.  The anaesthesiologist/anaesthetist must show on his/her account the exact anaesthetic time, including the supervision time spent with the patient."
0026,"One lung ventilation: Utilization of one lung ventilation: Add 3,00 anaesthetic units"
0027,"More than one procedure under the same anaesthetic: Where more than one operation is performed under the same anaesthetic, the basic anaesthetic units will be that of the major operation with the highest number of units"
0028,Indicator for use of low flow anaesthetic technique less than 1litre/minute: Fresh gas flow of less than 1 litre/minute
0029,"Assistant anaesthesiologists: When rendered necessary by the scope of the anaesthetic, an assistant anaesthesiologist may be employed. The remuneration of the assistant anaesthesiologist shall be calculated on the same basis as in the case where a general practitioner administers the anaesthetic"
0030,Indicator for use of low flow anaesthetic technique 1-2 litre/minute: Fresh gas flow of 1 to 2 litre/minute
0031,"Intravenous drips and transfusions: Treatment with intravenous drips and transfusions is considered part of the normal treatment in administering an anaesthetic. No additional fees may be charged for such services when rendered either prior to, or during actual theatre or operating time"
0032,"Any procedure performed in any position other than lithotomy or supine has a basic minimum value of 5.00. When the basic anaesthetic units for the procedure is 3,00, two extra anaesthetic units should be added. If the basic anaesthetic units for the procedure is 4,00, one extra anaesthetic unit should be added. If the basic anaesthetic units for the procedure is 5,00 or more, no extra units should be added"
0033,"Participating in general care of patients: When an anaesthesiologist/anaesthetist is required to participate in the general care of a patient during a surgical procedure, but does not administer the anaesthetic, such services may be remunerated at full anaesthetic rate, subject to the provisos of modifier 0035: Anaesthetic administered by an anaesthesiologist/anaesthetist. and modifier 0036: Anaesthetic administered by general practitioners."
0034,"Head, neck and shoulder girdle procedures: All anesthetics administered for diagnostic, surgical or X-ray procedures on the head, neck and shoulder girdle shall have a minimum of 5,00 basic anaesthetic units. When the basic anaesthetic units for the procedure is 3,00, two extra anaesthetic units should be added. If the basic anaesthetic units for the procedure is 4,00, one extra anaesthetic unit should be added. If the basic anaesthetic units for the procedure is 5,00 or more, no extra units should be added."
0035,"Anaesthetic administered by an anaesthesiologist/anaesthetist: No anaesthetic administered shall have a total value of less than 7,00 anaesthetic units (basic units, time units plus appropriate modifiers)."
0036,"Anaesthetic administered by general practitioners: The units (basic units plus time plus the appropriate modifiers) used to calculate the fee for an anaesthetic administered by a general practitioner lasting one hour or less, shall be the same as that for an anaesthesiologist. For anaesthetic lasting more than one hour, the units used to calculate the fee for an anaesthetic administered by a general practitioner will be 4/5 (80%) of the total number of units (basic units plus time [refer to modifier 0023] plus the appropriate modifiers) applicable to an anaesthesiologist.  Please note that the 4/5 (80%) principle will be applied to all anaesthetics administered by general practitioners with the proviso that no anaesthetic with a total number of units higher than 11.00 will be reduced to less than 11,00 units in total. "
0037,"Body hypothermia: Utilisation of total body hypothermia: Add 3,00 anaesthetic units"
0038,"Peri-operative blood salvage: Add 4,00 anaesthetic units for intra-operative blood salvage and 4,00 anaesthetic units for post-operative blood salvage"
0039,"Control of blood pressure: Deliberate control of the blood pressure: All cases up to one hour: Add 3,00 anaesthetic units, thereafter add 1,00 (one) additional anaesthetic unit per quarter hour or part thereof"
0040,"Phaeochromocytoma: The basic anaesthetic units for procedures performed for phaeochromocytoma shall be 15,00 anaesthetic units"
0041,"Hyperbaric pressurisation: Utilisation of hyperbaric pressurisation: Add 3,00 anaesthetic units"
0042,"Extracorporeal circulation: Utilisation of extracorporeal circulation: Add 3,00 anaesthetic units"
0043,"Anaesthesia for patients under one year of age or over 70 years of age: For all cases where the patient is under one year of age or over 70 years of age - 3,00 anaesthetic units to be added"
0044,"Neonates (i.e up to and including 28 days after birth): 3,00 anaesthetic units to be added to the basic anaesthetic units for the particular procedure. This modifier is charged in addition to Modifier 0043: Cases under one year of age"
0045,Post-operative alleviation of pain:
,
,"(a) When a regional or nerve block procedure is performed, the appropriate procedure item to patient in ward or nursing facility, can be charged, provided that it is not the primary anaesthetic technique"
,
,"(b) When a second  medical practitioner has administered the regional or nerve block for post-operative alleviation of pain, it shall be charged according to the particular procedure for instituting therapy.  Revisits shall be charged according to the appropriate hospital follow-up visit to patient in ward or nursing facility."
,
,"(c) None of the above is applicable for routine post-operative pain management i.e. intramuscular, intravenous or subcutaneous administration of opiates or NSAID (non-steroidal anti-inflammatory drug)"
0046,"Where in the treatment of a specific fracture or dislocation (compound or closed) an initial procedure is followed within one month by an open reduction, internal fixation, external skeletal fixation or bone grafting on the same bone, the fee for the initial treatment of that fracture or dislocation shall be reduced by 50%.   Please note:  This reduction does not include the assistant’s fee where applicable.  After one month, a full fee as for the initial treatment, is applicable"
0047,A fracture NOT requiring reduction shall be charged on a fee per service basis
0048,"Where in the treatment of a fracture or dislocation, an initial closed reduction is followed within one month by further closed reductions under general anaesthesia, the fee for such subsequent reductions will be 27,00 clinical procedure units (not including after-care)"
0049,"Except where otherwise specified, in cases of compound fractures, 77,00 clinical procedure units (specialists) and 77,00 clinical procedure units (general practitioners) are to be added to the units for the fractures including debridement"
0050,"In cases of a compound fracture where a debridement is followed by internal fixation (excluding fixation with Kirschner wires, as well as  fractures of hands and feet), the full amount according to either Modifier 0049:  Cases of compound fractures, or Modifier 0051:  Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting, may be added to the fee for the procedure involved, plus half of the amount according to the second modifier (either Modifier 0049: Cases of compound fractures or Modifier 0051: Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting, as applicable) "
0051,"Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting: Specialists add 77,00 clinical procedure units. General practitioners add 77,00 clinical procedure units"
0053,"Fracture requiring percutaneous internal fixation [insertion and removal of fixatives (wires) in respect of fingers and toes included]: Specialists and general practitioners add 32,00 clinical procedure units"
0055,"Dislocation requiring open reduction: Units for the specific joint plus 77,00 clinical procedure units for specialists. General practitioners add 77,00 clinical procedure units"
0057,"Multiple procedures on feet: In multiple procedures on feet, fees for the first foot are calculated according to Modifier 0005: Multiple procedures/operations under the same anaesthetic. Calculate fees for the second foot in the same way, reduce the total to 75% and add to the total for the first foot"
0058,Revision operation for total joint replacement and immediate re-substitution (infected or non-infected): per fee for total joint replacement + 100%
0061,"Combined procedures on the spine: In cases of combined procedures on the spine, both the orthopaedic surgeon and the neurosurgeon are entitled to the full fee for the relevant part of the operation performed"
0063,"Where two specialists work together on a replantation procedure, each shall be entitled to two-thirds of the fee for the procedure"
0064,"Where the replantation is unsuccessful, no further surgical fee is payable for amputation of the non-viable parts"
0065,"Additional operative procedures by same surgeon, under section 3.8.6: Spinal deformities, within a period of 12 months: 75% of scheduled fee for the lesser procedure, except where otherwise specified elsewhere"
0066,"Microsurgery of the fallopian-tubes and ovaries: Where micro-surgical techniques are used, with the aid of a microscope, 25% may be added to the fee"
0067,"Microsurgery of the larynx: Add 25% to the fee of the operation performed (òFor other operations requiring the use of an operation microscope, the fee include the use of the microscope, except where otherwise specified elsewhare in the Tariff)"
0069,"When endoscopic instruments are used during intranasal surgery: Add 10% of the fee of the procedure performed. Only applicable to items 1025, 1027, 1030, 1033, 1035, 1036, 1039, 1047, 1054 and 1083"
0070,"Add 45,00 clinical procedure units to procedure(s) performed through a thorascope"
0072,Non invasive peripheral vascular tests: The number of tests in a single case is restricted to two (2) per diagnosis. Tests are not justified in cases of uncomplicated varicose veins
0073,When item 1288 (Cardiac catheterisation for congenital heart disease: All ages above 1 year old) or item 1289 (Paediatric cardiac catheterisation: Infants below the age of one year) is performed by paediatric cardiologists (‘33’): fee for procedure + 100%
0074,"Endoscopic procedures performed with own equipment: The basic procedure fee plus 33.33% (1/3) of that fee (""+"" codes excluded) will apply where endoscopic procedures are performed with own equipment."
0075,"Endoscopic procedures performed in own procedure room: The fee plus 21,00 clinical procedure units will apply where endoscopic procedures are performed in rooms with own equipment. This fee is chargeable by medical practitioners who own or rent the facility. Please note: Modifier 0075 is not applicable to any of the items for diagnostic procedures in the otorhinolaryngology sections of the tariff."
0077,"Physical treatment: When two separate areas are treated simultaneously for totally different conditions, such treatment shall be regarded as two treatments for which separate fees may be charged. (Only applicable if services are provided by a specialist in physical medicine)"
0078,"When a testis biopsy is done combined with vasogram or seminal vesiculogram or epididymogram, add 50% of the units for the appropriate procedure"
0079,"When a first consultation/visit proceeds into, or is immediately followed by a medical psychotherapeutic procedure, fees for the procedure are calculated according to the appropriate individual psychotherapy code (items 2957, 2974 or 2975)"
0080,Multiple examinations: Full Fee
0081,Repeat examinations: No reduction
0082,“+” Means that this item is complementary to a preceding item and is therefore not subject to reduction
0083,"A reduction of 33,33% (1/3) in the fee will apply to radiological examinations as indicated in section 19: Radiology where hospital equipment is used"
0084,"Film costs: In the case of radiological items where films are used, practitioners should adjust the fee upwards or downwards in accordance with changes in the price of films in comparison with November 1979; the calculation must be done on the basis that film costs comprise 10% of the monetary value of the unit (This information is obtainable from the Radiological Society of SA)"
0085,Left Side' modifier to be added to when items 6500 to 6519 are used when the left side is examined. Please note that the absence of this modifier indicates that the right side was examined
0086,Vascular groups: “Film series” and “Introduction of Contrast Media” are complementary and together constitute a single examination: neither fee is therefore subject to increase in terms of Modifier 0080: Multiple examinations
0090,"Radiologist’s fee for participation in a team: 30,00 radiology units per ½ hour or part thereof for all interventional radiological procedures, excluding any pre- or post-operative angiography, catheterisation, CT-scanning, ultrasound-scanning or x-ray procedures. (Only to be charged if radiologist is hands-on, and not for interpretation of images only)"
0091,"Diagnostic services rendered to hospital inpatients: Quote Modifier 0091 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients officially admitted to hospital or day clinic (refer to Rule XX)"
0092,"Diagnostic services rendered to outpatients: Quote Modifier 0092 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients NOT officially admitted to hospital or day clinic (could be within the confines of a hospital) (refer to Rule YY)"
0095,"Radiation materials: Exclusively for use where radiation materials supplied by the practice are used by clinical and radiation oncologists, modifier 0095 should be used to identify these materials. A material code list with descriptions and guideline costs for these materials, maintained and updated on a regular basis, will be supplied  by the Society of Clinical and Radiation Oncology.  This modifier is only chargeable by the practice responsible for the cost of this material and where the hospital did not charge therefore. Please note that item 0201 should not be used for these materials"
0096,Radio-isotope therapy patients who fail to keep their appointments: Fee will include cost of isotope
0097,"Pathology tests performed by non-pathologists: Where items under Clinical Pathology (section 21) and Anatomical Pathology (section 22) fall within the province of other specialists or general practitioners, the fee is to be charged at two-thirds of the pathologists fee"
0100,"Intra-aortic balloon pump: Where an anaesthesiologist would be responsible for operating an intra-aortic balloon pump, a fee of 75,00 clinical procedure units is applicable."
0160,Aspiration of biopsy procedure performed under direct ultrasound control by an ultrasound aspiration biopsy transducer (Static Realtime): Fee for part examined plus 30% of the units
0165,Use of contrast during ultrasound study: add 6.00 ultrasound units
5104,"Ultrasound in pregnancy, multiple gestation, after twenty weeks: plus 30%"
5141,Radiation materials (see modifier 0095)
5441,"Add one (1,00) anaesthetic unit, except where the procedure refers to the bones named in Modifiers 5442 to 5448"
5442,"Shoulder, scapula, clavicle, humerus, elbow joint, upper 1/3 tibia, knee joint, patella, mandible and tempero-mandibular joint: Add two (2,00) anaesthetic units"
5443,"Maxillary and orbital bones: Add three (3,00) anaesthetic units"
5444,"Shaft of femur: Add four (4,00) anaesthetic units"
5445,"Spine (except coccyx), pelvis, hip, neck of femur: Add five (5,00) anaesthetic units"
5448,"Sternum and/or ribs and musculo-skeletal procedures which involve an intra-thoracic approach: Add eight (8,00) anaesthetic units"
6100,"In order to charge the full fee (600,00 magnetic resonance units) for an examination of a specific single anatomical region, it should be performed with the applicable radio frequency coil including T1 and T2 weighted images on at least two planes"
6101,"Where a limited series of a specific anatomical region is performed (except bone tumour), e.g a T2 weighted image of a bone for an occult stress fracture, not more than two-thirds (2/3) of the fee may be charged. Also applicable to all radiotherapy planning studies, per region"
6102,"All post-contrast studies (except bone tumour), including perfusion studies, to be charges at 50% of the fee"
6103,Post-contrast study: Bone tumour: 100% of the fee
6104,"Limited examination of the hypophysis e.g. where a coronal T1 and sagittal T1 series are performed, two-thirds (2/3) of the fee is applicable"
6105,"Where, in a limited hypophysis examination, Gadolinium is administered and coronal T1 and sagittal T1 series are repeated, a single full fee for the entire examination is applicable + cost of Gadolinium + disposable items"
6106,"Where a magnetic resonance angiography (MRA) of large vessels is performed as primary examination, 100% of the fee is applicable. This modifier is only applicable if the series is performed by use of a recognised angiographic software package with reconstruction capability"
6107,"Where a magnetic resonance angiography (MRA) of the vessels is performed additional to an examination of a particular region, 50% of the fee is applicable for the angiography. This modifier is only applicable if the series is performed by use of a recognised angiographic software package with reconstruction capability"
6108,"Where only a gradient echo series is performed with a machine without a recognised angiographic software package with reconstruction ability, 20% of the full fee is applicable specifying that it is a “flow sensitive series”"
6109,"Very limited studies to be charged at 33,33% of the full fee e.g. MR urography for renal colic, diffusion studies of the brain additional to routine brain"
6110,MRI spectroscopy: 50% of fee
6300,"If a procedure lasts less than 30 minutes, only 50% of the machine fees for items 3536-3550 will be allowed (specify time of procedure on account)"
6301,"If a procedure is performed by a radiologist in a facility not owned by himself, the fee will be reduced by 40% (i.e. 60% of the fee will be charged)"
6302,"When the procedure is performed by a non-radiologist, the fee will be reduced by 40% (i.e. 60% of the fee will be charged)"
6303,"When a procedure is performed entirely by a non-radiologist in a facility owned by a radiologist, the radiologist owning the facility may charge 55% of the procedure units used. Modifier 6302 applies to the non radiologist performing the procedure"
6305,"When multiple catheterisation procedures are used (items 3557, 3559, 3560, 3562) and an angiogram investigation is performed at each level, the unit value of each such multiple procedure will be reduced by 20,00 radiological units for each procedure after the initial catheterisation. The first catheterisation is charged at 100% of the unit value"
