0037,"Body hypothermia: Utilisation of total body hypothermia: Add 3,00 anaesthetic units, Liggaamshipotermie",,
0038,"Peri-operative blood salvage: Add 4,00 anaesthetic units for intra-operative blood salvage and 4,00 anaesthetic units for post-operative blood salvage",,
0039,"Control of blood pressure: Deliberate control of the blood pressure: All cases up to one hour: Add 3,00 anaesthetic units, thereafter add 1,00 (one) additional anaesthetic unit per quarter hour or part thereof, PEP infusion, BP, Bloedruk beheer",,
0040,"Phaeochromocytoma: The basic anaesthetic units for procedures performed for phaeochromocytoma shall be 15,00 anaesthetic units (Tumours near kidneys)",,
0041,"Hyperbaric pressurisation: Utilisation of hyperbaric pressurisation: Add 3,00 anaesthetic units
Hyperbaric Oxygen Therapy
Internationally recognized scientific indications for Hyperbaric Oxygen Therapy:
a. Arterial gas embolism (traumatic or iatrogenic).
b. Decompression sickness ('the bends')
c. Carbon monoxide poisoning
d. Gas gangrene
e. Crush injuries, compartment syndromes or acute traumatic ischaemias.
f. Problem wounds (selected diabetic wounds, complicated pressure sores, arterial and refractory venous stasis ulcers and non-union)
g. Necrotising soft tissue infections (e.g. necrotising fasciitis)
h. Refractory osteomyelitis.
i. Bone and soft tissue radiation necrosis.
j. Compromised skin grafts and flaps.
k. Acute thermal burns.
l. Acute bloodloss anaemia (transfusion is contraindicated - e.g. Jehovah's Witnesses or haemolytic anaemia).
m. Cerebral abscesses",,
0042,"Extracorporeal circulation: Utilisation of extracorporeal circulation: Add 3,00 anaesthetic units, Buite liggaamsirkulasie (Blood being extracted)",,
0043,"Anaesthesia for patients under one year of age or over 70 years of age: For all cases where the patient is under one year of age or over 70 years of age - 3,00 anaesthetic units to be added",,
0044,"Neonates (i.e up to and including 28 days after birth): 3,00 anaesthetic units to be added to the basic anaesthetic units for the particular procedure. This modifier is charged in addition to Modifier 0043: Cases under one year of age",,
0045,"Post-operative alleviation of pain:
(a) When a regional or nerve block procedure is performed, the appropriate procedure item to patient in ward or nursing facility, can be charged, provided that it is not the primary anaesthetic technique
(b) When a second  medical practitioner has administered the regional or nerve block for post-operative alleviation of pain, it shall be charged according to the particular procedure for instituting therapy.  Revisits shall be charged according to the appropriate hospital follow-up visit to patient in ward or nursing facility.
(c) None of the above is applicable for routine post-operative pain management i.e. intramuscular, intravenous or subcutaneous administration of opiates or NSAID (non-steroidal anti-inflammatory drug)
- To indicate more than one pain block.",,
0046,"Where in the treatment of a specific fracture or dislocation (compound or closed) an initial procedure is followed within one month by an open reduction, internal fixation, external skeletal fixation or bone grafting on the same bone, the fee for the initial treatment of that fracture or dislocation shall be reduced by 50%.   Please note:  This reduction does not include the assistant’s fee where applicable.  After one month, a full fee as for the initial treatment, is applicable",,
0047,A fracture NOT requiring reduction shall be charged on a fee per service basis,,
0048,"Where in the treatment of a fracture or dislocation, an initial closed reduction is followed within one month by further closed reductions under general anaesthesia, the fee for such subsequent reductions will be 27,00 clinical procedure units (not including after-care)",,
0049,"Except where otherwise specified, in cases of compound fractures, 77,00 clinical procedure units (specialists) and 77,00 clinical procedure units (general practitioners) are to be added to the units for the fractures including debridement",,
0050,"In cases of a compound fracture where a debridement is followed by internal fixation (excluding fixation with Kirschner wires, as well as  fractures of hands and feet), the full amount according to either Modifier 0049:  Cases of compound fractures, or Modifier 0051:  Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting, may be added to the fee for the procedure involved, plus half of the amount according to the second modifier (either Modifier 0049: Cases of compound fractures or Modifier 0051: Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting, as applicable) ",,
0051,"Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting: Specialists add 77,00 clinical procedure units. General practitioners add 77,00 clinical procedure units",,
0053,"Fracture requiring percutaneous internal fixation [insertion and removal of fixatives (wires) in respect of fingers and toes included]: Specialists and general practitioners add 32,00 clinical procedure units",,
0055,"Dislocation requiring open reduction: Units for the specific joint plus 77,00 clinical procedure units for specialists. General practitioners add 77,00 clinical procedure units",,
0057,"Multiple procedures on feet: In multiple procedures on feet, fees for the first foot are calculated according to Modifier 0005: Multiple procedures/operations under the same anaesthetic. Calculate fees for the second foot in the same way, reduce the total to 75% and add to the total for the first foot",,
0058,Revision operation for total joint replacement and immediate re-substitution (infected or non-infected): per fee for total joint replacement + 100%,,
0061,"Combined procedures on the spine: In cases of combined procedures on the spine, both the orthopaedic surgeon and the neurosurgeon are entitled to the full fee for the relevant part of the operation performed",,
0063,"Where two specialists work together on a replantation procedure, each shall be entitled to two-thirds of the fee for the procedure",,
0064,"Where the replantation is unsuccessful, no further surgical fee is payable for amputation of the non-viable parts",,
0065,"Additional operative procedures by same surgeon, under section 3.8.6: Spinal deformities, within a period of 12 months: 75% of scheduled fee for the lesser procedure, except where otherwise specified elsewhere",,
0066,"Microsurgery of the fallopian-tubes and ovaries: Where micro-surgical techniques are used, with the aid of a microscope, 25% may be added to the fee",,
0067,"Microsurgery of the larynx: Add 25% to the fee of the operation performed (òFor other operations requiring the use of an operation microscope, the fee include the use of the microscope, except where otherwise specified elsewhare in the Tariff)",,
0069,"When endoscopic instruments are used during intranasal surgery: Add 10% of the fee of the procedure performed. Only applicable to items 1025, 1027, 1030, 1033, 1035, 1036, 1039, 1047, 1054 and 1083",,
0070,"Add 45,00 clinical procedure units to procedure(s) performed through a thorascope",,
0072,Non invasive peripheral vascular tests: The number of tests in a single case is restricted to two (2) per diagnosis. Tests are not justified in cases of uncomplicated varicose veins,,
0073,When item 1288 (Cardiac catheterisation for congenital heart disease: All ages above 1 year old) or item 1289 (Paediatric cardiac catheterisation: Infants below the age of one year) is performed by paediatric cardiologists (‘33’): fee for procedure + 100%,,
0074,"Endoscopic procedures performed with own equipment: The basic procedure fee plus 33.33% (1/3) of that fee (""+"" codes excluded) will apply where endoscopic procedures are performed with own equipment.",,
0075,"Endoscopic procedures performed in own procedure room: The fee plus 21,00 clinical procedure units will apply where endoscopic procedures are performed in rooms with own equipment. This fee is chargeable by medical practitioners who own or rent the facility. Please note: Modifier 0075 is not applicable to any of the items for diagnostic procedures in the otorhinolaryngology sections of the tariff.",,
0077,"Physical treatment: When two separate areas are treated simultaneously for totally different conditions, such treatment shall be regarded as two treatments for which separate fees may be charged. (Only applicable if services are provided by a specialist in physical medicine)",,
0078,"When a testis biopsy is done combined with vasogram or seminal vesiculogram or epididymogram, add 50% of the units for the appropriate procedure",,
0079,"When a first consultation/visit proceeds into, or is immediately followed by a medical psychotherapeutic procedure, fees for the procedure are calculated according to the appropriate individual psychotherapy code (items 2957, 2974 or 2975)",,
0080,Multiple examinations: Full Fee,,
0081,Repeat examinations: No reduction,,
0082,“+” Means that this item is complementary to a preceding item and is therefore not subject to reduction,,
0083,"A reduction of 33,33% (1/3) in the fee will apply to radiological examinations as indicated in section 19: Radiology where hospital equipment is used",,
0084,"Film costs: In the case of radiological items where films are used, practitioners should adjust the fee upwards or downwards in accordance with changes in the price of films in comparison with November 1979; the calculation must be done on the basis that film costs comprise 10% of the monetary value of the unit (This information is obtainable from the Radiological Society of SA)",,
0085,Left Side' modifier to be added to when items 6500 to 6519 are used when the left side is examined. Please note that the absence of this modifier indicates that the right side was examined,,
0086,Vascular groups: “Film series” and “Introduction of Contrast Media” are complementary and together constitute a single examination: neither fee is therefore subject to increase in terms of Modifier 0080: Multiple examinations,,
0090,"Radiologist’s fee for participation in a team: 30,00 radiology units per ½ hour or part thereof for all interventional radiological procedures, excluding any pre- or post-operative angiography, catheterisation, CT-scanning, ultrasound-scanning or x-ray procedures. (Only to be charged if radiologist is hands-on, and not for interpretation of images only)",,
0091,"Diagnostic services rendered to hospital inpatients: Quote Modifier 0091 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients officially admitted to hospital or day clinic (refer to Rule XX)",,
0092,"Diagnostic services rendered to outpatients: Quote Modifier 0092 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients NOT officially admitted to hospital or day clinic (could be within the confines of a hospital) (refer to Rule YY)",,
0095,"Radiation materials: Exclusively for use where radiation materials supplied by the practice are used by clinical and radiation oncologists, modifier 0095 should be used to identify these materials. A material code list with descriptions and guideline costs for these materials, maintained and updated on a regular basis, will be supplied  by the Society of Clinical and Radiation Oncology.  This modifier is only chargeable by the practice responsible for the cost of this material and where the hospital did not charge therefore. Please note that item 0201 should not be used for these materials",,
0096,Radio-isotope therapy patients who fail to keep their appointments: Fee will include cost of isotope,,
0097,"Pathology tests performed by non-pathologists: Where items under Clinical Pathology (section 21) and Anatomical Pathology (section 22) fall within the province of other specialists or general practitioners, the fee is to be charged at two-thirds of the pathologists fee",,
0100,"Intra-aortic balloon pump: Where an anaesthesiologist would be responsible for operating an intra-aortic balloon pump, a fee of 75,00 clinical procedure units is applicable.",,
0109,Hospital follow up to patient in ward or nursing facility. (Only to be charged once per day),,
0146,,,
0147,"For an unscheduled emergency consultation / visit away from the doctor's rooms, all hours (0011 always to be added)",,
0160,Aspiration of biopsy procedure performed under direct ultrasound control by an ultrasound aspiration biopsy transducer (Static Realtime): Fee for part examined plus 30% of the units,,
0165,Use of contrast during ultrasound study: add 6.00 ultrasound units,,
0201,Nappi Code,,
0203,Inhalation sedation: Use of analgesic nitrous oxide for alcohol and other withdrawal states: First quarter-hour or part thereof,,
0204,Inhalation sedation: Per additional quarter-hour or part thereof,,
0205,Intravenous treatment: Intravenous infusions (cut-down or push-in) (patients under three years): Cut-down and/or insertion of cannula - chargeable once per 24 hours,,
0206,Intravenous treatment: Intravenous infusions (push-in) (patients over three years): Insertion of cannula - chargeable once per 24 hours,,
0207,Intravenous treatment: Intravenous infusions (cut-down) (patients over three years): Cut-down and insertion of cannula - chargeable once per 24 hours,,
0208,Venesection: Therapeutic venesection (Not to be used when blood is drawn for the purpose of laboratory investigations),,
0209,Umbilical artery cannulation at birth,,
0210,"Collection of blood specimen(s) by medical practitioner for pathology examination, per venesection (not to be used by pathologists)",,
0211,Exchange transfusion: First and subsequent (including after-care),,
0217,Allergy: Patch tests: First patch,,
0218,"Allergy: Skin-prick tests: Skin-prick testing: Insect venom, latex and drugs",,
0219,Allergy: Patch tests: Each additional patch,,
0220,Allergy: Skin-prick tests: Immediate hypersensitivity testing (Type I reaction): Per antigen: Inhalant and food allergens,,
0221,Allergy: Skin-prick tests: Delayed hypersensitivity testing (Type IV reaction): Per antigen,,
0222,Intralesional injection into areas of pathology e.g. Keloid: Single,,
0223,Intralesional injection into areas of pathology e.g. Keloids: Multiple,,
0225,Epilation: Per session,,
0227,"Special treatment of severe acne cases, including draining of cysts, expressing of cleaning of Comedones and/or steaming, abrasive cleaning of skin and UVR per session",,
0228,PUVA Treatment: Maximum of 21 treatments,,
0229,PUVA: Follow-up or maintenance therapy once a week,,
0230,UVR-Treatment,,
0231,UVR-Follow-up - for use of ultraviolet lamp (applied personally by the dermatologist). No charge to be levied if a nurse or physiotherapist applies the ultraviolet lamp,,
0233,"Biopsy without suturing: First lesion, Biopsy breast lump, Excision biopsy skin",T,
0234,Biopsy without suturing: Subsequent lesions (each),,
0235,Biopsy without suturing: Maximum for multiple additional lesions,,
0237,Deep skin biopsy by surgical incision with local anaesthetic and suturing,,
0241,Treatment of benign skin lesion by chemo-cryotherapy: First Lesion,,
0242,Treatment of benign skin lesion by chemo-cryotherapy: Subsequent lesions (each),,
0243,Treatment of benign skin lesion by chemo-cryotherapy: Maximum for multiple additional lesions,,
0244,Repair of nail bed,T,
0245,"Removal of benign lesion by curretting under local or general anaesthesia followed by diathermy and curretting or electrocautery: First lesion, Warts (removal or burn) / Anal warts - Cauterization / Removal of cyst (prostate) / Removal of genital warts / Excision ear canal lesion / Kauterisasie molluscum canragiosum",T,
0246,Removal of benign lesion by curretting under local or general anaesthesia followed by diathermy and curretting or electrocautery: Subsequent lesions (each),T,
0251,Removal of malignant lesions by curretting under local or general anaesthesia followed by electrocautery: First lesion,,
0252,Removal of malignant lesions by curretting under local or general anaesthesia followed by electrocautery: Subsequent lesions (each),,
0255,"Drainage of subcutaneous abscess onychia, paronychia, pulp space or avulsion of nail, Pilonodal Syst",T,
0257,"Drainage of major hand or foot infection: Drainage of major abscess with necrosis of tissue, involving deep fascia or requiring debridement; complete excision of pilonidal cyst or sinus, I + D Elbow, neck, ankle, foot, leg, toe, buttocks, skull, Drainage of major hand and foot infection, Pilonidale Sinus, Excision hidradenitis, Debridement wound abd wall, haematoma, Pilonidal cyst or sinus, I & D face, Axillary abscess drainage",T,
0259,"Removal of foreign body superficial to deep fascia (except hands), Axillary abcess drainage (Excluding hands)",T,
0261,Removal of foreign body deep to deep fascia (except hands),,
0271,Kurtin planing for acne scarring: Whole face,,
0273,Kurtin planing for acne scarring: Extensive,,
0275,Kurtin planing for acne scarring: Limited,,
0277,Kurtin planing for acne scarring: Subsequent planing of whole face within 12 months,,
0279,Surgical treatment for axillary hyperhidrosis,,
0280,Laser treatment for small skin lesions: First lesion,,
0281,Laser treatment for small skin lesions: Subsequent lesions (each),,
0282,Laser treatment for small skin lesions: Maximum for multiple additional lesions,,
0283,Laser treatment for large skin lesions: Limited area,,
0284,Laser treatment for large skin lesions: Extensive area,,
0285,Laser treatment for large skin lesions: Whole face or other areas of equivalent size or larger,,
0286,Photo-dynamic therapy for malignant skin lesions: Equipment fee for PDT lamp,,
0287,Scanning of pigmented skin lesions: Equipment fee for Molemax or similar device,,
0289,"Large skin grafts, composite skin grafts, large full thickness free skin grafts, Vel oorplanting, Spina bifida closure",T,
0290,Reconstructive procedures (including all stages) and skin graft by myo-cutaneous or fascio-cutaneous flap,T,
0291,Reconstructive procedures (including all stages) grafting by micro-vascular re-anastomosis,T,
0292,Distant flaps: First stage,,
0293,Contour grafts (excluding cost of material),,
0294,Vascularised bone graft with or without soft tissue with one or more sets of micro-vascular anastomoses,T,
0295,"Local skin flaps (large, complicated), Lokal flap nose, Breast Recon",T,
0296,Other procedures of major technical nature,T,
0297,Subsequent major procedures for repair of same lesion,T,
0298,Lower abdominal dermo-lipectomy,,
0299,Major abdominal lipectomy with repositioning of umbilicus,,
0300,Stitching of soft-tissue injuries: Stitching of wound (with or without local anaesthesia): Including normal after-care),,
0301,Stitching of soft-tissue injuries: Additional wounds stitched at same session (each),T,
0302,"Stitching of soft-tissue injuries: Deep laceration involving limited muscle damage, Catherisation vaginal wards",T,
0303,"Stitching of soft-tissue injuries: Deep laceration involving extensive muscle damage, Debridement & stitching, Excision skin lesion, Wound inspection, Exploration of neck wound, Heup sekondere hegting,  Suturing - Dog bite nose, Removal limpoma, Removal lessions leap, Catherisation vaginal wards",T,
0304,"Major debridement of wound, sloughectomy or secondary suture, Debridement, Cosmetic code, ROH, ROM, Spina bifida closure, Dreinasie hematoom na mastektomie, Dressing, I + D (Cheek/ Face), Eksisie velletsel lip en oor, Deep tissue biopsy, Labiaplasty",T,
0305,Needle biopsy - soft tissue,T,Do not bill for Anaesthesiologists
0307,Excision and repair by direct suture; excision nail fold or other minor procedures of similar magnitude (Do not bill for anaesthesiologists),T,Do not bill for Anaesthesiologists
0308,Each additional small procedure done at the same time,T,Do not bill for Anaesthesiologists
0310,"Radical excision of nailbed, Sigeksisie bilaterale groottoon nael, Ingrown nailbed",T,
0311,"Excision of large benign tumour (more than 5 cm), Breast abscess / I& D Abscess Arm / Excision lipoma, Excision lympnode, Excision of large benign tumour, Excision lipomas back, abdominal wall, forehead , I & D vision nose, Excision of lymph node: Heup - Excision + drainage of abscess (Back) - Wide excision of melanoma: Arm, Excision lump (R) breast, Eksisie Lipoom, Removal lesion back of neck, Excision lump (R) breast, Excision Planter Wart, Eksisie Lipoom, Excision lump (R) breast, Excision Planter Wart, Removal lesion back of neck (DISCONTINUED IN 2015)",T,
0313,"Extensive resection for malignant soft tissue tumour including muscle, Excision Breast, Removal of skin lesions, Maligant tumour soft tissue including muscle, lipoom, Biopsy Tumor",T,
0314,"Requiring repair by large skin graft or large local flap or other procedures of similar magnitude, Excision skin graft, SSG - large skin graft ",T,
0315,Requiring repair by small skin graft or small local flap or other procedures of similar magnitude,T,
0316,Fine needle aspiration for soft tissue (all areas),T,
0317,Aspiration of cyst or tumour,T,
0319,"Mastotomy with exploration, drainage of abscess or removal of mammary implant",T,
0321,"Biopsy or excision of cyst, benign tumour, aberrant breast tissue, duct papilloma, Biopsy or excision of cyst (( breast tissue )), Breast lump, Breast biopsy, Excision fibro adenoma",T,
0323,Subareolar cone excision of ducts of wedge excision of breast,T,
0324,"Wedge excision of breast and axillary dissection, Excision Breast Mass, Breast abscess, Wedge excision of breast and axillary dissection",T,
0325,"Total mastectomy, Mastopexy",T,
0327,Total mastectomy with axillary gland biopsy,T,
0329,Total mastectomy with axillary gland dissection,T,
0330,Nipple and areola reconstruction,T,
0331,Subcutaneous mastectomy for disease of breast; including reconstruction but excluding cost of prosthesis: Unilateral,T,
0333,Subcutaneous mastectomy for disease of breast; including reconstruction but excluding cost of prosthesis: Bilateral,T,
0334,Removal of breast implant by means of capsulectomy: Per breast,T,
0335,Implantation of internal subpectoral mammary prosthesis in post mastectomy patients,T,
0337,Reduction: Mammoplasty for pathological hypertrophy: Unilateral,,
0339,Reduction: Mammoplasty for pathological hypertrophy: Bilateral,,
0341,Gynaecomastia: Unilateral,T,
0343,Gynaecomastia: Bilateral,T,
0351,Major Burns: Resuscitation (including supervision and intravenous therapy - first 48 hours),,
0353,Tangential excision and grafting: Small,,
0354,Tangential excision and grafting: Large,,
0355,Skin flap in acute hand injuries where a flap is taken from a site remote from the injured finger or in cases of advancement flag e.g. Cutler,,
0357,Small skin graft in acute hand injury,,
